name,calories,protein,carbs,fat,fiber,sugar,sodium,potassium,vitamins,meal_type,category,glycemic_index,saturated_fat,omega3,serving_size
Oatmeal,150,5,27,3,4,1,0,130,"A,B,D",breakfast,grain,55,0.5,0,"1 cup cooked"
Greek Yogurt,120,15,7,0,0,7,80,141,"B12,D,Calcium",breakfast,dairy,35,0,0,"1 cup"
Scrambled Eggs,140,12,1,10,0,0,140,100,"A,D,B12",breakfast,protein,0,3,0,"2 eggs"
Avocado Toast,260,8,30,12,6,2,400,485,"E,K,C",breakfast,grain,40,2,0.1,"1 slice toast with 1/2 avocado"
Spinach Omelet,200,15,2,14,1,0,230,350,"A,C,K",breakfast,protein,0,5,0,"1 omelet"
Fruit Smoothie,220,5,45,2,3,30,30,500,"C,A,E",breakfast,fruit,40,0,0,"16 oz"
Banana,105,1.3,27,0.4,3.1,14,1,422,"C,B6",snack,fruit,51,0.1,0,"1 medium"
Chicken Salad,320,30,10,15,3,2,400,600,"A,C,E",lunch,protein,0,3,0,"1 bowl"
Grilled Salmon,367,34,0,22,0,0,50,700,"D,B12,E",dinner,protein,0,4,5,"6 oz fillet"
Brown Rice,216,5,45,1.8,3.5,0,2,84,"B1,B3,B6",lunch,grain,50,0.4,0,"1 cup cooked"
Quinoa,222,8,39,3.6,5,0,13,318,"B1,B2,E",lunch,grain,53,0.4,0,"1 cup cooked"
Grilled Chicken Breast,165,31,0,3.6,0,0,74,220,"B3,B6",lunch,protein,0,1,0,"3.5 oz"
Sweet Potato,112,2,26,0.1,4,6,72,541,"A,C,B6",dinner,vegetable,70,0,0,"1 medium"
Mixed Vegetables,70,2,15,0,5,6,160,400,"A,C,K",dinner,vegetable,15,0,0,"1 cup"
Lentil Soup,230,18,40,2,15,4,600,700,"A,C,Iron",lunch,legume,30,0,0,"1 bowl"
Almonds,161,6,6,14,3.5,1,0,208,"E,B2",snack,nut,0,1.1,0,"1 oz (23 almonds)"
Apple,95,0.5,25,0.3,4.4,19,2,195,"C",snack,fruit,36,0,0,"1 medium"
Hummus with Carrots,166,6,14,10,4,2,256,222,"A,C,E",snack,legume,6,1.5,0,"1/4 cup hummus with 10 baby carrots"
Grilled Vegetable Wrap,320,10,48,8,6,4,700,450,"A,C,E",lunch,grain,45,1.5,0,"1 wrap"
Tofu Stir Fry,350,20,30,15,5,8,650,600,"A,C,Iron",dinner,protein,15,2,0,"1 serving"
Minestrone Soup,82,4.6,11,2.7,2.4,3.2,700,290,"A,C,K",lunch,soup,35,0.5,0,"1 cup"
Spinach Salad,331,5,10,30,3,3,240,420,"A,C,K",lunch,vegetable,15,3,1,"1 bowl"
Veggie Burger,250,12,30,8,5,3,500,350,"A,C,Iron",dinner,vegetable,45,1,0,"1 patty"
Spaghetti with Marinara,220,8,40,3,2,8,400,120,"A,C",dinner,grain,45,0.5,0,"1 cup"
Baked Tilapia,220,45,0,4,0,0,80,500,"B12,D,B3",dinner,protein,0,1,1,"6 oz fillet"
Roasted Brussels Sprouts,75,4,8,5,4,2,20,250,"C,K",dinner,vegetable,15,0.5,0,"1 cup"
Blueberries,85,1.1,21,0.5,3.6,15,1,114,"C,K",snack,fruit,53,0,0,"1 cup"
Trail Mix,170,6,16,10,2,8,42,215,"E,B2",snack,nut,20,1.5,0,"1/4 cup"
Black Bean Burger,275,11,35,10,7,2,500,380,"A,C,Iron",dinner,legume,30,1.5,0,"1 patty"
Caesar Salad,470,9,10,42,2,2,840,230,"A,K",lunch,vegetable,0,7,0,"1 salad"
Greek Salad,384,10,14,35,3,8,1260,500,"A,C,K",lunch,vegetable,15,7,0,"1 salad"
Protein Shake,170,25,5,3,1,2,100,180,"A,C,D",snack,protein,30,1,0,"1 shake"
Beef Stir Fry,450,35,30,20,3,10,900,600,"B12,Iron",dinner,protein,35,8,0,"1 serving"
Grilled Vegetable Kebabs,180,5,20,10,4,8,200,500,"A,C,E",dinner,vegetable,30,1.5,0,"2 skewers"
Cottage Cheese,120,14,6,5,0,6,500,130,"B12,Calcium",snack,dairy,0,3,0,"1/2 cup"
Chia Pudding,170,6,15,11,10,6,40,150,"B3,Calcium",breakfast,seed,20,1,3,"1/2 cup"
Egg White Omelette,150,20,2,5,0,1,180,200,"B12",breakfast,protein,0,1,0,"1 omelette"
Steel Cut Oats,150,5,27,2.5,4,0,10,180,"B1,Iron",breakfast,grain,53,0.5,0,"1 cup cooked"
Tuna Salad,250,25,10,12,1,1,600,300,"B12,D",lunch,protein,0,2,2,"1 serving"
Peanut Butter Toast,215,8,20,12,3,3,180,220,"E,B3",breakfast,grain,50,2.5,0,"1 slice with 1 Tbsp peanut butter"
