pose_name,sanskrit_name,difficulty,benefits,contraindications,dietary_recommendations
Mountain Pose,Tadasana,Beginner,"Improves posture, strengthens thighs, ankles","None for most people","Balanced diet, adequate hydration"
Downward-Facing Dog,Adho Mukha Svanasana,Beginner,"Strengthens arms and legs, stretches hamstrings","High blood pressure, carpal tunnel syndrome, late-term pregnancy","Light meal 1-2 hours before practice"
Warrior I,Virabhadrasana I,Intermediate,"Strengthens legs, opens hips and chest","Knee injuries, high blood pressure","Balanced diet with adequate protein"
Warrior II,Virabhadrasana II,Intermediate,"Builds stamina, strengthens legs","Knee injuries, diarrhea","Complex carbs for sustained energy"
Triangle Pose,Trikonasana,Intermediate,"Stretches legs, hips, spine; reduces stress","Headaches, low blood pressure","Hydration and mineral-rich foods"
Child's Pose,Balasana,Beginner,"Relaxes back, shoulders; calms mind","Late-term pregnancy, knee injuries","Light, easily digestible foods"
Cobra Pose,Bhujangasana,Beginner,"Strengthens spine, opens chest","Back injury, carpal tunnel, pregnancy","Anti-inflammatory foods"
Bridge Pose,Setu Bandhasana,Intermediate,"Strengthens back, buttocks; opens chest","Neck or back injury","Calcium-rich foods"
Seated Forward Bend,Paschimottanasana,Intermediate,"Stretches hamstrings, spine; calms mind","Back injury, sciatica","Hydration, potassium-rich foods"
Corpse Pose,Savasana,Beginner,"Deep relaxation, reduces stress","Low blood pressure (use props to elevate)","Light meals before practice"
Tree Pose,Vrksasana,Beginner,"Improves balance, concentration","Balance problems, low blood pressure","Foods rich in magnesium and B vitamins"
Eagle Pose,Garudasana,Intermediate,"Improves balance, concentration; strengthens legs","Knee injuries","Protein-rich foods"
Chair Pose,Utkatasana,Intermediate,"Strengthens thighs, ankles, spine","Headaches, low blood pressure, insomnia","Complex carbohydrates"
Plank Pose,Phalakasana,Intermediate,"Strengthens arms, wrists, spine","Carpal tunnel syndrome, wrist injuries","Protein for muscle recovery"
Bow Pose,Dhanurasana,Advanced,"Stretches entire front body, strengthens back","Back injury, pregnancy, high or low blood pressure, migraine","Anti-inflammatory foods, adequate protein"
Camel Pose,Ustrasana,Advanced,"Opens chest, improves posture","Back injury, high or low blood pressure, migraine, insomnia","Calcium and magnesium-rich foods"
Pigeon Pose,Eka Pada Rajakapotasana,Advanced,"Opens hips, stretches thighs","Knee or hip injury, sacroiliac issues","Anti-inflammatory foods"
Half Moon Pose,Ardha Chandrasana,Advanced,"Improves balance, coordination","Balance problems, low blood pressure, migraine","Iron-rich foods for balance and focus"
Headstand,Sirsasana,Advanced,"Builds strength, focus; improves circulation","Neck injury, high blood pressure, detached retina, glaucoma, headache","Light meal 2-3 hours before practice"
Shoulder Stand,Sarvangasana,Advanced,"Stimulates thyroid, improves circulation","Neck issues, high blood pressure, menstruation","Light, easily digestible foods; avoid practice on full stomach"
